# epoch accuracy val_accuracy loss val_loss
1 0.3343658447265625 0.45489501953125 7220.71484375 7219.2353515625
2 0.45489501953125 0.535614013671875 7219.2353515625 7216.201171875
3 0.535614013671875 0.5876312255859375 7216.201171875 7210.740234375
4 0.5876312255859375 0.620880126953125 7210.740234375 7202.013671875
5 0.620880126953125 0.6422271728515625 7202.013671875 7189.615234375
6 0.6422271728515625 0.6577911376953125 7189.615234375 7174.8046875
7 0.6577911376953125 0.6710205078125 7174.8046875 7161.50927734375
8 0.6710205078125 0.6815185546875 7161.50927734375 7153.8935546875
9 0.6815185546875 0.6911468505859375 7153.8935546875 7151.40966796875
10 0.6911468505859375 0.6995849609375 7151.40966796875 7150.919921875
